Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
ES;ELE6202;01;3,00;60;3E0;B-304;C;A;;T;SYSTEMES MULTIVARIABLES;30;MER;2100
ES;ELE6203;01;3,00;50;2C0;C-632;C;A;;T;ANAL. COMM. GEST. RESEAU.ELECT;30;MAR;1900
ES;ELE6203;01;3,00;50;2D0;C-632;C;A;;T;ANAL. COMM. GEST. RESEAU.ELECT;30;MAR;2000
ES;ELE6203;01;3,00;50;2E0;C-632;C;A;;T;ANAL. COMM. GEST. RESEAU.ELECT;30;MAR;2100
ES;ELE6204;01;3,00;64;4C0;A-604;C;A;;T;COMM. DES SYS. NON LINEAIRES;30;JEU;1900
ES;ELE6204;01;3,00;64;4D0;A-604;C;A;;T;COMM. DES SYS. NON LINEAIRES;30;JEU;2000
ES;ELE6204;01;3,00;64;4E0;A-604;C;A;;T;COMM. DES SYS. NON LINEAIRES;30;JEU;2100
ES;ELE6208;01;3,00;60;2C0;B-304;C;A;;T;DYN. DU VOL ET AUTO-PILOTAGE;30;MAR;1900
ES;ELE6208;01;3,00;60;2D0;B-304;C;A;;T;DYN. DU VOL ET AUTO-PILOTAGE;30;MAR;2000
ES;ELE6208;01;3,00;60;2E0;B-304;C;A;;T;DYN. DU VOL ET AUTO-PILOTAGE;30;MAR;2100
ES;ELE6210;01;3,00;33;55;A-552;C;B;;TL;CONCEPTION SYST. DE COMMANDE;30;VEN;1245
ES;ELE6210;01;3,00;33;56;A-552;C;B;;TL;CONCEPTION SYST. DE COMMANDE;30;VEN;1345
ES;ELE6210;01;3,00;33;57;A-552;C;B;;TL;CONCEPTION SYST. DE COMMANDE;30;VEN;1445
ES;ELE6210;01;3,00;63;22;A-621;L;B;I;TL;CONCEPTION SYST. DE COMMANDE;30;MAR;0930
